t,crowd_count,near_center_fraction_5m,outward_fraction,mean_outward_speed_mps,net_radial_flow_mps,y,outward_fraction_lag1,outward_fraction_lag2,outward_fraction_lag3,mean_outward_speed_mps_lag1,mean_outward_speed_mps_lag2,mean_outward_speed_mps_lag3,crowd_count_lag1,crowd_count_lag2,crowd_count_lag3,net_radial_flow_mps_lag1,net_radial_flow_mps_lag2,net_radial_flow_mps_lag3,near_center_fraction_5m_lag1,near_center_fraction_5m_lag2,near_center_fraction_5m_lag3
5655.0,46.0,0.13043478260869565,0.41304347826086957,2.253889288264568,0.6051560966160506,0,0.4222222222222222,0.3673469387755102,0.2978723404255319,2.266427423559972,2.3385550973386753,2.31464644542227,45.0,49.0,47.0,0.4901291994009911,0.33544500493093726,-0.07595148010753401,0.2,0.20408163265306123,0.14893617021276595
5657.0,47.0,0.10638297872340426,0.3829787234042553,2.2381023575823917,0.38164757312476993,0,0.41304347826086957,0.4222222222222222,0.3673469387755102,2.253889288264568,2.266427423559972,2.3385550973386753,46.0,45.0,49.0,0.6051560966160506,0.4901291994009911,0.33544500493093726,0.13043478260869565,0.2,0.20408163265306123
5660.0,45.0,0.1111111111111111,0.37777777777777777,2.2452953547093104,0.32516834449892124,0,0.3829787234042553,0.41304347826086957,0.4222222222222222,2.2381023575823917,2.253889288264568,2.266427423559972,47.0,46.0,45.0,0.38164757312476993,0.6051560966160506,0.4901291994009911,0.10638297872340426,0.13043478260869565,0.2
5662.0,47.0,0.1276595744680851,0.3829787234042553,2.248311566453589,0.28866927563470013,0,0.37777777777777777,0.3829787234042553,0.41304347826086957,2.2452953547093104,2.2381023575823917,2.253889288264568,45.0,47.0,46.0,0.32516834449892124,0.38164757312476993,0.6051560966160506,0.1111111111111111,0.10638297872340426,0.13043478260869565
5665.0,42.0,0.19047619047619047,0.35714285714285715,2.3238442330686886,0.17198414337476417,0,0.3829787234042553,0.37777777777777777,0.3829787234042553,2.248311566453589,2.2452953547093104,2.2381023575823917,47.0,45.0,47.0,0.28866927563470013,0.32516834449892124,0.38164757312476993,0.1276595744680851,0.1111111111111111,0.10638297872340426
5667.0,49.0,0.1836734693877551,0.40816326530612246,2.317706463336254,0.553227811365341,0,0.35714285714285715,0.3829787234042553,0.37777777777777777,2.3238442330686886,2.248311566453589,2.2452953547093104,42.0,47.0,45.0,0.17198414337476417,0.28866927563470013,0.32516834449892124,0.19047619047619047,0.1276595744680851,0.1111111111111111
5670.0,43.0,0.11627906976744186,0.3488372093023256,2.3320107281621723,0.20742985232322475,0,0.40816326530612246,0.35714285714285715,0.3829787234042553,2.317706463336254,2.3238442330686886,2.248311566453589,49.0,42.0,47.0,0.553227811365341,0.17198414337476417,0.28866927563470013,0.1836734693877551,0.19047619047619047,0.1276595744680851
5672.0,47.0,0.10638297872340426,0.2765957446808511,2.315459961910655,0.10459533630484492,0,0.3488372093023256,0.40816326530612246,0.35714285714285715,2.3320107281621723,2.317706463336254,2.3238442330686886,43.0,49.0,42.0,0.20742985232322475,0.553227811365341,0.17198414337476417,0.11627906976744186,0.1836734693877551,0.19047619047619047
5675.0,47.0,0.1702127659574468,0.2765957446808511,2.298766993472289,0.008841466865372998,0,0.2765957446808511,0.3488372093023256,0.40816326530612246,2.315459961910655,2.3320107281621723,2.317706463336254,47.0,43.0,49.0,0.10459533630484492,0.20742985232322475,0.553227811365341,0.10638297872340426,0.11627906976744186,0.1836734693877551
5677.0,45.0,0.1111111111111111,0.28888888888888886,2.2865237140916004,-0.05009082965399006,0,0.2765957446808511,0.2765957446808511,0.3488372093023256,2.298766993472289,2.315459961910655,2.3320107281621723,47.0,47.0,43.0,0.008841466865372998,0.10459533630484492,0.20742985232322475,0.1702127659574468,0.10638297872340426,0.11627906976744186
5680.0,45.0,0.2,0.2222222222222222,2.3420999341021123,-0.054568516488716946,0,0.28888888888888886,0.2765957446808511,0.2765957446808511,2.2865237140916004,2.298766993472289,2.315459961910655,45.0,47.0,47.0,-0.05009082965399006,0.008841466865372998,0.10459533630484492,0.1111111111111111,0.1702127659574468,0.10638297872340426
5682.0,48.0,0.1875,0.25,2.358227271632977,0.059299236428462763,0,0.2222222222222222,0.28888888888888886,0.2765957446808511,2.3420999341021123,2.2865237140916004,2.298766993472289,45.0,45.0,47.0,-0.054568516488716946,-0.05009082965399006,0.008841466865372998,0.2,0.1111111111111111,0.1702127659574468
5685.0,50.0,0.16,0.3,2.374543508232706,0.18166788937518724,0,0.25,0.2222222222222222,0.28888888888888886,2.358227271632977,2.3420999341021123,2.2865237140916004,48.0,45.0,45.0,0.059299236428462763,-0.054568516488716946,-0.05009082965399006,0.1875,0.2,0.1111111111111111
5687.0,45.0,0.1111111111111111,0.28888888888888886,2.3132850752397007,0.2170406289524353,0,0.3,0.25,0.2222222222222222,2.374543508232706,2.358227271632977,2.3420999341021123,50.0,48.0,45.0,0.18166788937518724,0.059299236428462763,-0.054568516488716946,0.16,0.1875,0.2
5690.0,47.0,0.23404255319148937,0.2765957446808511,2.2778399245727536,0.2499503790436057,0,0.28888888888888886,0.3,0.25,2.3132850752397007,2.374543508232706,2.358227271632977,45.0,50.0,48.0,0.2170406289524353,0.18166788937518724,0.059299236428462763,0.1111111111111111,0.16,0.1875
5692.0,48.0,0.20833333333333334,0.4166666666666667,2.24072027231256,0.6757824991180515,0,0.2765957446808511,0.28888888888888886,0.3,2.2778399245727536,2.3132850752397007,2.374543508232706,47.0,45.0,50.0,0.2499503790436057,0.2170406289524353,0.18166788937518724,0.23404255319148937,0.1111111111111111,0.16
5695.0,44.0,0.11363636363636363,0.38636363636363635,2.207019900235506,0.5867726496664984,0,0.4166666666666667,0.2765957446808511,0.28888888888888886,2.24072027231256,2.2778399245727536,2.3132850752397007,48.0,47.0,45.0,0.6757824991180515,0.2499503790436057,0.2170406289524353,0.20833333333333334,0.23404255319148937,0.1111111111111111
5697.0,47.0,0.0851063829787234,0.3191489361702128,2.1841027037403893,0.5522082760280955,0,0.38636363636363635,0.4166666666666667,0.2765957446808511,2.207019900235506,2.24072027231256,2.2778399245727536,44.0,48.0,47.0,0.5867726496664984,0.6757824991180515,0.2499503790436057,0.11363636363636363,0.20833333333333334,0.23404255319148937
5700.0,46.0,0.08695652173913043,0.30434782608695654,2.231293253533678,0.35249154521325426,0,0.3191489361702128,0.38636363636363635,0.4166666666666667,2.1841027037403893,2.207019900235506,2.24072027231256,47.0,44.0,48.0,0.5522082760280955,0.5867726496664984,0.6757824991180515,0.0851063829787234,0.11363636363636363,0.20833333333333334
5702.0,47.0,0.0851063829787234,0.3191489361702128,2.2173703575554535,0.28067878501581583,0,0.30434782608695654,0.3191489361702128,0.38636363636363635,2.231293253533678,2.1841027037403893,2.207019900235506,46.0,47.0,44.0,0.35249154521325426,0.5522082760280955,0.5867726496664984,0.08695652173913043,0.0851063829787234,0.11363636363636363
5705.0,42.0,0.11904761904761904,0.21428571428571427,2.2424392850896107,-0.055970099418314406,0,0.3191489361702128,0.30434782608695654,0.3191489361702128,2.2173703575554535,2.231293253533678,2.1841027037403893,47.0,46.0,47.0,0.28067878501581583,0.35249154521325426,0.5522082760280955,0.0851063829787234,0.08695652173913043,0.0851063829787234
5707.0,48.0,0.125,0.1875,2.296601468573514,0.0586902190250903,0,0.21428571428571427,0.3191489361702128,0.30434782608695654,2.2424392850896107,2.2173703575554535,2.231293253533678,42.0,47.0,46.0,-0.055970099418314406,0.28067878501581583,0.35249154521325426,0.11904761904761904,0.0851063829787234,0.08695652173913043
5710.0,45.0,0.15555555555555556,0.2222222222222222,2.2186857863277267,-0.10182635653881272,0,0.1875,0.21428571428571427,0.3191489361702128,2.296601468573514,2.2424392850896107,2.2173703575554535,48.0,42.0,47.0,0.0586902190250903,-0.055970099418314406,0.28067878501581583,0.125,0.11904761904761904,0.0851063829787234
